user_id	jobroles	career_level	discipline_id	industry_id	country	region	experience_n_entries_class	experience_years_experience	experience_years_in_current	edu_degree	edu_fieldofstudies
953365	3081292	0	0	15	de	7	1	0	0	0	
1147463	1057568,2111897	3	3	1	de	7	3	4	2	0	3,5
1534707	3726822	0	0	16	de	0	1	0	0	2	5,7
1504662	2001826,3689751	0	0	2	de	2	1	0	0	1	
1845077	4451534,4484357,2585795,4499767,3804838,2392484	3	3	1	de	2	2	4	1	2	
2950304	2314529	0	0	21	de	2	3	4	0	0	5
106421	2565768,3710361,1012013,3432139	3	0	0	de	0	1	3	3	0	
1947730	524375,3287640	NULL	0	0	de	6	1	2	0	0	
1251845	559757,524518	0	18	10	de	2	3	5	1	3	2
141932	213841	0	0	0	de	0	1	2	2	1	7
1708387	502342	0	0	21	de	0	1	0	0	0	
2039843	726713,3451742	4	3	4	de	0	1	2	2	0	
598545	154542	0	0	0	de	0	1	1	1	0	
2392171	502342	3	14	21	at	0	3	6	1	0	5
1810682	2314529	0	0	0	de	0	2	6	0	0	
571943	3016884	3	3	9	de	0	1	5	5	0	
1938258	2089213,3145630	4	0	0	ch	0	3	6	4	2	8
1960673	4362983,1898833	3	2	21	de	10	3	4	1	0	
1600168	0	NULL	0	0	de	3	3	6	0	2	3
1152419	502342	4	0	0	de	0	3	0	0	0	5
1602130	3079492	NULL	0	0	de	3	3	4	1	2	2
2558092	3309650	0	2	17	ch	0	2	5	3	0	
1055735	1334372	NULL	0	0	de	10	2	2	2	1	
669795	30045	5	0	0	de	0	2	5	2	0	
2700713	3090903	3	0	2	at	0	2	5	3	0	
210120	1079599,1581843	4	19	21	de	1	3	7	4	0	
261598	2608520	3	0	0	de	0	2	2	1	0	
1260	0	NULL	0	0	de	0	NULL	NULL	NULL	0	
816106	0	NULL	0	0	de	6	1	0	0	1	2
261524	0	NULL	0	0	at	0	2	4	0	2	8,2
1788560	512566,38045,1179799,3240672,1703688	4	2	15	de	9	3	7	4	0	
934004	3432139,1057841,9064	3	0	0	de	0	3	5	4	0	
2177013	812432,1667725,3079492	NULL	0	0	de	4	3	4	4	0	
1709299	3768439,2111897	3	0	0	de	0	3	6	1	1	8
1537421	1581843,412919	4	0	21	de	1	3	4	2	2	7
2833067	1280664,4159968	0	0	1	at	0	2	5	5	0	
1603248	621213	NULL	0	0	de	1	1	3	3	1	2
2703904	4338514,3432139,234916,4321623	0	0	15	ch	0	3	4	1	0	
1104309	3482421	NULL	0	0	de	3	3	5	2	3	5
2078871	2928384,2314529,1613276	0	0	13	de	10	3	6	4	2	7
2382177	726713	3	3	1	de	1	3	4	3	2	5
2544702	502342	3	7	8	de	2	2	4	1	2	1
592390	4499478,3079492	1	0	0	de	0	3	4	1	1	
3177	2424638,893887	3	0	0	non_dach	0	3	4	2	1	3,5
1800348	2580946	6	0	14	ch	0	3	5	5	0	8,2
2063719	0	NULL	0	0	de	9	3	5	0	0	3
1909861	0	NULL	0	0	de	7	1	0	0	0	
820058	660875	0	0	14	de	6	1	0	0	0	
1447032	0	NULL	0	0	NULL	NULL	1	0	0	2	3
2220784	2573697,494116,1667725	0	0	8	de	1	1	0	0	0	3
193969	3482421	3	5	15	at	0	2	4	2	2	8
445161	1149449,500718	4	0	0	de	0	3	5	2	2	8
1896565	3551384	4	0	16	de	1	2	6	4	0	
367455	1296253,4284901,4338514	0	0	15	non_dach	0	2	5	1	0	
2135004	4284901,4554939,1549791,4451534,3729575	5	0	0	de	0	3	4	4	0	8
2578817	0	NULL	0	0	de	10	1	0	0	0	3
1115445	775545	3	20	22	de	7	3	4	1	0	3
351438	2314529	3	14	21	de	1	3	6	2	0	5
41403	2197161	NULL	0	0	de	2	3	5	1	2	3
1482614	744245,502342	3	7	9	de	1	2	5	1	0	3
2326763	4284901	6	0	0	de	0	3	6	2	0	
1678459	2210017	0	0	0	de	0	1	2	2	2	8,2
2097027	3099696,221785	0	0	1	de	9	2	4	2	0	
1232103	0	NULL	0	0	de	10	1	0	0	0	
1529649	4020979	0	0	6	de	2	2	7	4	0	
2508857	0	NULL	0	0	non_dach	0	1	4	0	0	
424839	704442	0	0	23	de	0	1	0	0	0	
1566688	2330622	0	0	15	ch	0	3	6	1	0	
1652664	502342	4	18	9	de	1	3	5	3	2	3
90973	2130746	0	0	1	de	0	1	0	0	0	
1591131	4533036	4	0	0	ch	0	2	4	3	0	
1120701	3456869	3	14	21	de	2	2	3	2	0	5
938272	0	NULL	0	0	at	0	3	0	0	2	
1885923	76751,412919	0	2	14	de	1	3	4	2	2	7
343141	0	NULL	0	0	de	9	1	0	0	0	3
1113132	4141254	4	0	23	de	7	2	5	5	2	8
816648	924101,2366748	3	2	9	de	2	3	4	1	2	
2666830	4049990,2507888,3847247,76751	3	0	0	de	0	3	7	7	2	
2079317	4020979,2317118,3272384	2	0	0	de	0	3	3	3	2	3
1623371	444534	NULL	0	0	de	13	3	4	1	2	8,2
1210463	0	NULL	0	0	de	7	3	3	0	2	8
442687	76751	0	0	15	ch	0	2	6	0	2	
686298	1283916	0	0	14	de	9	3	4	2	0	5
1471419	43445	0	0	1	de	2	2	6	4	0	
187991	0	NULL	0	0	ch	0	3	6	0	0	5
2193653	177854	5	0	0	de	0	3	6	3	2	7
391875	0	NULL	0	0	de	6	3	3	0	0	
710105	3768439,1005582,2111897	0	0	0	de	0	2	4	2	1	8
2904693	0	NULL	0	0	de	2	1	0	0	1	
2211791	494116,1342939	0	0	0	de	0	3	5	1	1	8
2572491	1086543,1931005	3	15	1	de	7	2	4	3	0	3
357669	4583506	NULL	0	0	de	2	1	0	0	0	
1801302	991642	3	13	8	de	9	1	7	7	0	
2486234	1893191,720295,2154072	1	0	0	de	0	3	4	1	2	8
1813883	2550008,4427905,4571752,2262224	3	23	21	de	2	3	4	4	0	
2553338	4284901,3954962	NULL	0	0	de	10	2	2	1	1	2,8,5
636177	76751	0	0	0	de	0	2	4	2	2	8
1312773	127768,3870375	0	0	18	de	10	3	6	5	0	
1955650	0	NULL	0	0	de	7	1	0	0	0	
830695	3941800,3378061	3	0	0	de	0	2	4	1	0	5
269440	43445	0	0	1	de	1	3	4	2	2	8
2588739	3432139	3	0	0	de	0	3	7	3	0	3
2131466	76751,2453990	0	0	0	de	0	3	6	0	2	
2134203	4432807,221785,4483314	4	0	0	de	0	3	3	1	0	7
393107	128836,3307503	3	0	0	de	0	2	6	4	0	
1644921	3916449	0	12	16	ch	0	2	4	2	2	2
1197828	76751,221785	4	0	0	de	0	3	4	2	1	8
1612013	0	3	0	0	de	0	3	5	5	0	3
257738	528730,962959,127768,4578384	4	0	0	de	0	3	6	6	0	
505158	3432139	0	0	0	de	0	3	2	1	1	
1473366	0	NULL	0	0	at	0	1	3	0	0	
2977657	0	NULL	0	0	de	6	2	2	0	0	
2489069	4383018,4472402	0	0	0	at	0	1	2	1	0	
1448579	726713	3	0	19	de	9	3	7	4	0	
2452609	44411,1819239,1038436,1790126	0	0	18	de	4	3	6	1	2	8,2
2517775	0	0	0	0	ch	0	3	6	0	0	
2353894	1207236	0	0	5	de	0	1	0	0	0	
2546046	1087839,3240672,788101	2	14	21	de	9	1	2	1	1	5
2055196	3418410,1792965	0	0	0	de	0	2	3	3	0	
2453370	812432	2	3	21	de	10	1	3	2	0	
930894	626238	0	0	15	de	0	3	7	3	0	
2487643	2088073	0	0	1	de	9	1	0	0	0	3
2110477	4454260,4550898,1606477	NULL	0	0	de	0	2	6	4	0	
785075	3079492,3455040	1	0	0	de	0	2	3	1	2	5,3
1384319	0	NULL	0	0	de	9	1	4	0	1	5
2619424	3119985,3847702,3432139	3	0	5	de	7	2	6	6	0	
1578699	508447	3	0	1	de	0	3	6	4	0	
18749	2317118,4284901	6	2	14	de	7	3	7	5	0	3
408782	524518	0	0	0	de	0	3	2	2	3	5
1114462	18903	NULL	0	0	de	7	2	5	4	2	3,8
302918	3145630	3	0	23	de	13	1	7	7	0	
1789212	4580338,4019493	0	0	4	at	0	2	5	3	0	8
2002121	4141254	0	9	18	de	2	3	4	1	2	
1894809	4173199	NULL	0	0	de	1	2	6	2	0	
1533220	18903	3	14	2	de	7	1	5	5	0	3
1789513	1283916	3	0	11	ch	0	3	7	2	0	3
2114160	3937157,76751	0	6	11	de	6	3	4	2	0	2
1363090	73975	0	0	15	de	3	3	5	0	0	
1863906	1072229	3	0	0	ch	0	3	6	5	2	5,3
275686	398644,154542,3378061,4533914,1254051,502237	4	0	0	de	0	3	7	4	0	
1711359	0	0	0	0	de	0	1	6	6	0	
1500820	4284901,508447	0	0	1	de	1	2	3	3	0	
2727164	1549791	6	0	0	at	0	3	7	6	0	
992373	528730,2954872	4	0	0	de	0	3	6	3	2	5,6
161521	635441	3	6	11	de	9	3	5	1	0	
581186	3296093	3	7	21	de	6	3	5	2	0	5
108692	1549791	0	0	15	at	0	1	0	0	2	
368287	3072367	5	14	21	de	3	3	6	2	2	5
2201402	3370475	5	19	15	de	7	3	7	1	0	8
2181977	0	NULL	0	0	de	4	1	5	0	0	8
105334	0	NULL	0	0	de	7	2	6	0	0	
379874	0	NULL	0	0	de	7	1	0	0	0	3
1112818	0	NULL	0	0	de	2	3	5	0	2	7
2246710	991642	0	0	0	de	0	2	5	1	2	
2254332	18903,1342939,4049722,442346	2	0	21	de	10	2	4	4	1	3,5
1669306	0	NULL	0	0	de	0	1	0	0	0	
2100772	0	NULL	0	0	at	0	3	7	1	0	
2693540	2394577,2148295	4	0	0	de	0	3	7	5	0	
1858403	0	NULL	0	0	de	10	2	6	0	0	3
2057302	2573697,3099696,4427905	3	0	0	de	0	2	7	3	0	
2709028	3451742	3	3	8	de	7	2	7	2	0	
1569865	3660692	0	0	1	de	2	2	3	0	0	
2656435	3543754,1242704,1857995,494116	3	0	0	de	0	3	7	3	0	
2433010	3045845,3655435	3	0	21	de	10	3	5	4	0	
1748340	3482421	6	2	15	de	9	3	7	3	0	
97718	0	NULL	0	0	de	4	2	4	0	0	3
1778421	1459696,4105528	0	0	10	de	1	1	0	0	3	
1768636	0	NULL	0	0	de	2	2	3	0	1	8
2445048	494116,976185,4284901	0	0	15	de	2	3	5	2	2	3,2
106320	150052	2	0	0	de	0	1	2	2	2	
217483	4583506,2608520	NULL	0	0	de	10	3	4	1	1	8
1567667	2915824,4338514,4284901,411627	NULL	0	0	de	2	3	7	4	2	
2046292	0	NULL	0	0	de	0	NULL	NULL	NULL	0	
111479	502342,212162	0	0	1	de	1	1	4	2	1	8,3
1059635	848921	0	0	8	ch	0	1	0	0	0	
2604261	0	NULL	0	0	de	0	3	7	0	0	
1454497	0	NULL	0	0	de	13	3	4	0	1	
191220	0	NULL	0	0	de	9	3	4	0	2	8
2440446	1766375	0	0	15	de	1	3	3	2	0	5,3
879363	1766375	3	14	2	non_dach	0	3	5	2	1	3
2597791	4246708,4203068	6	0	14	at	0	2	7	6	0	
1270554	3408137	NULL	0	0	de	1	3	4	1	2	8
2479577	3240672,3484208	3	0	3	de	7	2	5	3	2	7,2,9
1284756	0	3	0	0	de	0	3	4	0	0	
487881	2683869,1766375,138936,3274326,1697930	5	2	14	de	9	3	4	4	0	
2775355	0	NULL	0	0	de	0	1	0	0	0	
651552	635441	3	0	15	de	9	3	4	2	0	
443508	3408137	3	0	0	de	0	2	4	4	2	
965913	4499767	0	0	21	de	15	1	7	6	0	
2419713	2865278,4141254,299329,4205078,76751	3	0	0	ch	0	2	1	1	0	5,2
2595336	0	NULL	0	0	de	2	2	3	0	0	
248412	1838416,3432139,3580664,2435687	0	0	12	de	7	3	6	4	2	7
2145235	2995613,2580946	6	2	14	de	9	3	7	7	0	
2221169	1514943	0	0	14	de	10	3	4	1	0	
2541790	0	NULL	0	0	de	0	3	4	0	0	5
2195287	0	NULL	0	0	de	7	2	4	0	0	7,2
2763567	0	NULL	0	0	de	3	3	6	0	0	3
2699015	4007215	NULL	0	0	de	2	3	4	1	1	
2193068	621213,1523848	0	0	17	de	9	3	4	2	1	
1001889	2135130	4	0	0	de	0	3	4	1	0	
979432	234916,962613,1173434	3	0	0	de	0	3	5	3	1	3
1457891	2314529	0	0	0	de	0	1	5	5	0	
1701826	0	NULL	0	0	de	9	1	0	0	0	5
310514	291827,3455040	NULL	0	0	de	9	3	4	3	0	5,3
1270644	4169675,3293484	5	5	1	de	9	3	7	2	2	8
552041	2111897,2573697,635441	0	3	15	at	0	3	7	5	0	
714654	1283916	0	2	14	de	9	3	4	3	0	2,8
2481127	622035,502342,4333385	3	7	1	de	2	3	7	5	0	3
241299	2314529	0	0	0	de	0	2	6	4	3	5
1482737	2314529	0	0	16	de	9	1	0	0	0	
2154390	412919	0	0	4	de	7	2	7	1	0	
1835574	3754554	3	3	2	de	1	1	0	0	0	
397583	315526	3	0	0	de	0	2	5	4	2	8
1503540	4499767,3378061,4321623,2958665,234916	4	3	8	de	13	2	6	3	0	
2081920	1118975,154542	0	0	0	de	0	3	6	2	2	5
2095767	578240,744365	4	19	14	ch	0	3	7	1	0	5,2
772498	1792965,3432139,4305206,312113	0	19	21	de	9	3	7	2	0	
1353226	2913005	3	7	8	de	10	3	5	2	2	8,2
1580963	1549791	0	20	15	ch	0	3	7	2	0	
517745	3481113	0	0	0	de	0	2	5	4	1	5
847233	1581843,1359497	5	0	0	de	0	3	5	4	0	5
1381346	3737229	0	0	0	de	0	3	7	2	0	8
1499575	0	NULL	0	0	de	3	3	5	0	3	5
821299	0	NULL	0	0	de	7	3	4	0	0	8
1016282	0	0	0	0	de	0	3	3	1	2	8
2586087	4544606	3	0	0	de	0	2	5	2	0	
2497122	4020231	2	0	0	de	0	2	6	4	0	5
1624865	612078,2772448,4499767,2112514	0	0	1	de	1	3	6	3	0	
518939	4490078	6	0	0	de	0	2	7	7	1	
1049603	4490078	4	0	0	de	0	2	0	0	1	
1474389	0	NULL	0	0	de	9	1	0	0	0	
1192373	974288	0	0	8	de	7	3	5	2	0	
1152433	0	NULL	0	0	at	0	1	0	0	0	7
545071	3580664	2	0	0	de	0	3	5	1	2	8
11635	2135130,3378061,4490078,4547168	4	6	18	de	2	3	5	2	0	
1607046	4490078	3	0	0	de	0	1	6	4	0	
2331986	3774721	NULL	0	0	non_dach	0	2	6	3	0	
2009409	0	NULL	0	0	de	0	1	0	0	0	
509658	4138763	0	0	0	de	0	1	0	0	2	4
2761581	0	NULL	0	0	de	9	2	3	0	0	
550317	675557,4141254	3	3	21	de	10	2	4	1	0	8
1056529	0	3	0	0	de	0	2	4	0	0	5
348875	0	NULL	0	0	de	2	1	4	0	0	
1595198	2101651	NULL	0	0	ch	0	2	4	1	1	
28321	624061	0	0	23	de	7	2	6	3	0	
484793	0	6	0	0	de	0	3	4	3	1	
692082	0	NULL	0	0	de	3	3	4	0	2	8,2
1376100	4408755	0	0	0	de	0	3	5	1	3	5
565556	3748334	NULL	0	0	at	0	3	4	2	1	
2221830	462974,2169794,2608520,751977	3	0	0	de	0	3	7	7	0	
297803	76751,1514943	2	0	0	non_dach	0	3	4	1	1	2,8
1612109	805121	4	0	0	de	0	1	5	5	2	
1382351	622035,3145630	5	14	2	de	0	3	7	1	0	
184848	991642	0	13	1	at	0	1	4	4	0	
861634	2870601	3	0	1	de	1	2	4	2	0	3
1440083	0	0	0	15	de	7	3	6	1	0	
365494	868188	0	0	15	at	0	1	3	3	0	
290357	3287640	0	0	23	de	9	3	6	3	0	
2286387	30045	0	0	8	de	10	2	6	3	0	
1896434	3533669	3	0	0	de	0	3	4	2	0	
716898	1010707,3135786,744365	0	0	0	de	0	3	2	0	0	7
394012	2566476	0	0	19	de	0	1	2	2	0	
444824	0	NULL	0	0	de	9	2	5	0	0	3
1044924	0	NULL	0	0	non_dach	0	1	0	0	3	
2233446	502342	3	14	21	de	10	3	5	1	2	2,7
1924664	0	NULL	0	0	de	2	2	4	0	1	7,2
855236	3287640	0	0	14	de	9	1	0	0	0	
257950	0	NULL	0	0	de	5	2	4	0	1	8
1448304	4138763,3870375	6	0	0	de	0	3	5	5	1	
2327922	682906	0	0	15	de	0	2	3	2	0	7
2044889	2088073	3	0	1	de	1	2	5	4	2	
2166003	3033879,1766375,2573697,1122629,1501968	4	7	1	de	2	3	7	2	3	
802141	4490078	3	0	0	de	0	2	7	3	0	
2472715	4143327	3	15	1	de	1	3	5	1	0	3
2288019	438935	0	0	22	de	6	1	0	0	0	
897123	2657518	0	0	0	de	0	3	4	2	1	2
2030083	682906,4499767,1134369	3	3	15	de	0	1	2	1	0	
2565112	2973232	3	0	21	de	9	3	6	2	0	
2761193	3482421	NULL	0	0	ch	0	3	7	2	0	
1147426	3754554	0	5	15	de	0	1	3	3	0	
2229751	76751,878374	3	14	9	de	2	2	3	2	0	3
1619158	1826305	4	0	1	de	2	2	7	7	0	
595968	1934650,3321196	0	5	15	de	10	3	7	2	0	
1929803	0	3	5	20	de	9	3	4	1	2	
162429	31181	3	0	21	de	7	1	6	6	2	2
572820	76751,2177460	3	6	15	de	1	3	5	1	0	
1819605	328529	0	0	2	de	1	1	3	1	0	
1778645	1363305	3	2	21	de	7	3	6	2	0	3
2638596	3533669	3	20	1	de	9	3	4	1	1	3
1248686	2915808,502342,1458399,3170691	0	7	8	de	9	3	4	1	0	
551081	3533669	3	20	1	de	10	3	5	3	0	
2066351	1072229,1506826	0	0	9	de	1	1	4	2	2	5
432418	2774232	0	0	0	de	0	1	4	4	1	
1669270	502342	3	7	1	de	6	3	7	2	0	3
2455207	3241763,2978502,234916	0	3	2	de	2	3	5	5	0	
1293619	3836325	2	0	0	de	0	3	5	1	2	8,3,2
28276	2314529	3	14	21	de	1	3	5	3	0	
1762563	935309,76751,3328595,4310092	3	0	4	de	7	3	7	7	0	
2137748	1371812,1581843	4	0	0	de	0	3	4	2	0	
1910850	2314529	NULL	0	0	de	0	1	4	2	0	
1475426	2088073,2646148,675056,30971,3533669	3	0	0	non_dach	0	2	3	3	0	
330281	1873880,1107970,4008409	3	0	0	de	0	1	3	3	1	
2787207	612078	4	0	0	de	0	2	0	0	3	
1574632	543252,128836	3	0	2	de	6	3	5	3	0	
152067	4141254,2573697,4017590,76751	3	7	21	de	6	3	6	3	0	
144191	4175020	3	0	7	at	0	3	6	3	0	
2926996	1792965,3916449	3	0	0	de	0	3	6	5	0	
1332507	3210328,76887	3	0	10	de	6	1	4	4	0	
1115093	2920801,2608520,906892	3	0	21	de	9	2	6	1	0	
2931707	1342939,148260,4254729	3	2	14	de	6	3	4	1	3	8
1256484	0	NULL	0	0	de	6	1	0	0	0	
605562	0	NULL	0	0	de	1	1	0	0	1	
2852719	1549791,1109152	6	0	21	de	6	3	7	5	2	5
1131209	0	NULL	0	0	de	9	1	0	0	0	
248615	0	NULL	0	0	de	3	3	4	0	2	2
324447	2424638,76751	0	0	19	at	0	1	0	0	0	
1557830	901174	3	3	8	de	10	3	5	1	0	
2459923	412919	0	14	21	de	1	2	4	1	1	5
2719145	2314529	2	0	0	de	0	2	4	3	1	5
298507	444534	3	0	0	de	0	2	4	2	1	8
2632072	2314529	2	0	0	de	0	2	5	4	1	5
120068	0	NULL	0	0	de	9	2	5	0	0	
2538202	3920765	3	0	0	de	0	3	4	3	1	
622845	63375	3	0	0	de	0	2	3	2	0	2,7
1865041	226689	3	5	2	de	6	3	4	1	0	
507916	3370475	4	3	17	de	10	3	5	2	2	
1175935	401445	3	0	8	de	9	2	6	5	0	3
139756	2111897	4	3	12	de	6	3	5	3	0	
2234639	3474546	0	14	2	ch	0	3	7	4	0	
2155016	2978502,3977471,4499767	4	3	8	de	9	2	4	3	2	8,2
929333	3698102	0	0	1	de	0	3	5	2	0	
2629678	4484357,1662103,1079599	3	0	0	de	0	3	3	2	0	
1439793	1443376,4574106,1766375	3	20	8	de	1	3	6	2	0	3
881780	2660625,4169675,1955236,4329775	4	0	0	de	0	3	7	4	2	2,8
1789955	4451534,4583506,4499478,2380081,1768488,1616580	0	0	2	de	2	3	5	3	0	8
2084952	3341539,76751,4451534,76887,744365	5	0	0	de	0	3	7	5	2	8
971969	2585795	3	1	2	ch	0	1	3	1	0	
2963617	3482421,246620,4533036	4	0	0	de	0	1	4	1	0	
2773084	22459,788101	3	0	21	de	1	2	5	2	0	
924276	2573697,3551384	4	7	21	de	1	2	7	4	2	2,3
2296347	4351125,1012013	3	0	3	de	2	2	4	3	0	3
1665835	440118,4284901	0	0	10	de	2	3	5	3	2	8
2657941	1214093,1549791,1581843,76751	4	2	21	de	10	3	6	3	0	
433852	3119985,3856731	6	0	0	de	0	2	7	4	0	
6352	0	NULL	0	0	de	1	3	5	0	1	3
2058467	0	NULL	0	0	de	2	1	3	0	0	
2444850	3171029,4470114,2585795	3	0	0	de	0	3	6	3	0	
1247231	3145630	4	0	0	de	0	3	7	3	0	
2979840	0	NULL	0	0	de	1	1	0	0	0	
2281966	3602236,878374,2616578	NULL	0	0	de	8	2	4	3	0	
1878734	0	NULL	0	0	de	7	1	5	0	0	
730636	1581843,3883878,994996	4	0	0	de	0	3	6	3	0	
2803314	22459,3408137,1118975,1447960	3	0	0	de	0	3	5	4	1	4,8
2028838	2915824,4499767,4321623,1342939	0	0	18	de	9	3	0	0	2	2
1295628	3135218,812432	3	3	8	de	2	1	4	4	0	
2182845	2140778,3241763	4	7	7	de	9	3	6	2	0	
67814	2378915,4321623,695787	4	0	0	de	0	2	7	5	2	7
248175	0	NULL	0	0	de	7	1	0	0	0	2,8
1353678	2955497	0	0	0	de	0	1	0	0	0	
1949915	1518879,2765778,1242881,3306184	3	0	8	de	1	1	7	7	0	
555233	175181,2585795,2573697	3	0	0	de	0	2	7	2	0	
2552389	3771869	NULL	0	0	de	2	3	4	1	2	3
320099	0	NULL	0	0	de	8	3	6	2	0	6
2839038	0	NULL	0	0	de	1	1	5	0	2	8
1578652	3002613,3262386,1959711	0	0	2	de	7	3	6	1	0	
1257560	0	NULL	0	0	de	9	1	5	0	0	
1514182	3372075,500718,3107749,3129740	0	0	19	non_dach	0	3	4	2	0	3
2543251	3432139	0	0	0	de	0	1	0	0	1	3
2004447	1581843,3099696,2458720,315526	0	0	0	de	0	2	7	5	0	
362579	4545549	3	0	11	de	9	3	4	1	2	8,2
617042	0	NULL	0	0	de	9	3	7	0	0	
2403696	4547168,4432807,3729575	0	0	10	de	6	2	5	3	0	
1483976	128836,2424638,234916	NULL	0	0	ch	0	2	4	1	0	8
878196	4284901	0	0	2	non_dach	0	1	0	0	3	
932182	3275018,3390198	3	0	0	de	0	3	7	7	0	
1541901	1620730	0	0	8	de	9	1	0	0	0	
967709	1057841,3240672,3667990	3	6	22	ch	0	2	3	2	0	
1742682	2865345	3	0	0	de	0	2	5	1	0	
